"","GSEA.Mic.m.NM"
"C00009",1.56826985151318
"C00022",1.73818681056862
"C00025",-0.716749050363482
"C00026",-0.439270879549976
"C00036",0.0320270691342761
"C00037",0.308211034180398
"C00041",-0.733247308526289
"C00042",0.376418027115485
"C00047",-0.700552988393971
"C00048",1.9380492950573
"C00049",-0.697902067460469
"C00062",-0.739509816205592
"C00064",-0.571335569873892
"C00073",-1.50476309232256
"C00077",-0.761877700883714
"C00078",-0.70987695309023
"C00079",-0.862094091705676
"C00082",-0.756387680946625
"C00086",2.12177942542126
"C00089",2.7101307065009
"C00668",-0.735050720090274
"C00093",-0.636499180933432
"C00097",-1.02455142612251
"C00099",1.16888094040272
"C00106",1.16792845846003
"C00111",-0.992919047930414
"C00116",1.88624907364482
"C00117",-0.376558092873792
"C00122",0.295513296521161
"C00123",-0.792790821124813
"C00134",1.01357054148819
"C00135",-1.04617315473179
"C00137",-1.1866712022536
"C00147",-0.732579934121038
"C00148",-0.775089699228929
"C00152",-0.773778307173087
"C00153",-0.734447443883323
"C00158",-1.07393246242583
"C00164",2.16478155481591
"C00178",1.92716909438143
"C00183",-0.943230704388523
"C00186",1.52306738198384
"C00188",-0.834352461960767
"C00189",2.21853753138949
"C00192",1.23847840179557
"C00209",2.0072875177442
"C00213",1.61335592502192
"C00267",0.381468900331183
"C00249",1.67036875945454
"C00253",0.446572321624271
"C00258",1.2687061719359
"C00262",0.356269635954324
"C00315",-1.00370950755464
"C00329",0.734161469142201
"C00334",-0.0790372961740731
"C00380",0.990789255642766
"C00392",0.614043540703218
"C00407",-0.896816129176474
"C00431",1.36672113748707
"C00489",1.9471614825069
"C00519",0.817555503570807
"C00530",0.0997556742743234
"C00539",1.43607163070555
"C00606",-0.735437470599517
"C00712",1.33442138165272
"C00716",-0.603007772147133
"C00750",-0.557142751999343
"C00785",0.617755588838521
"C00791",-0.931939682486397
"C00794",1.65372836948094
"C00815",1.07662325449714
"C00823",0.559446996200026
"C00936",0.108325576584537
"C00956",-0.875694486030099
"C00984",0.548799652220369
"C01013",2.06763813283829
"C01089",1.51789321549135
"C01384",3.14970247389367
"C01487",0.294270390680306
"C01530",1.7266534712435
"C01571",1.18229789665882
"C01585",2.15536973643759
"C01595",1.83112271315174
"C01601",1.99662369154971
"C01620",-0.732740001390418
"C01672",0.405960494248495
"C01712",1.61296825831694
"C01732",1.24763391044713
"C01879",-0.445004980744924
"C02037",-1.31203320790978
"C02170",0.991545464147906
"C02193",1.53010422066618
"C02291",-0.492818503827559
"C02336",0.349131476494651
"C02356",-0.767187734616021
"C02504",2.26477638590032
"C02630",0.093687869004635
"C02674",-1.27349732657306
"C02679",1.19608386611174
"C02727",-0.695632512335574
"C03547",1.13879858120814
"C03668",-0.486936359282045
"C05145",0.660148267272457
"C05574",-0.759267383532038
"C06104",1.98842225934397
"C06423",2.3879164538023
"C06424",1.66505634466975
"C06429",0.448920297181479
"C06771",1.47307483027982
"C08261",0.289241302728324
"C16513",0.479658718390363
"C19670",1.46244248186635
"D01924",1.04864333507253
