"",".id","1","name"
"1","Cluster1","X2.Aminoethanol.3TMS","2-Aminoethanol"
"2","Cluster1","Spermidine.5TMS","Spermidine"
"3","Cluster1","X2.Aminobutyric.acid.2TMS","2-Aminobutyric acid"
"4","Cluster1","Urea.2TMS","Urea"
"5","Cluster1","Glyoxylic.acid.meto.TMS","Glyoxylic acid"
"6","Cluster1","Palmitic.acid.TMS","Palmitic acid"
"7","Cluster1","Octadecanol.TMS","Octadecanol"
"8","Cluster1","Caproic.acid.TMS","Caproic acid"
"9","Cluster1","X2.Deoxy.glucose.4TMS.2.","2-Deoxy glucose"
"10","Cluster1","Lactic.acid.2TMS","Lactic acid"
"11","Cluster1","Decanoic.acid.TMS","Decanoic acid"
"12","Cluster1","Elaidic.acid.TMS","Elaidic acid"
"13","Cluster2","Dihydroxyacetone.phosphate.meto.3TMS.2.","Dihydroxyacetone phosphate"
"14","Cluster2","Malic.acid.3TMS","Malic acid"
"15","Cluster2","Glycerol.3.phosphate.4TMS","Glycerol 3 phosphate"
"16","Cluster2","Dihydroxyacetone.phosphate.meto.3TMS.1.","Dihydroxyacetone phosphate"
"17","Cluster2","Citric.acid.4TMS","Citric acid"
"18","Cluster2","X2.Aminopimelic.acid.3TMS","2-Aminopimelic acid"
"19","Cluster2","Fumaric.acid.2TMS","Fumaric acid"
"20","Cluster2","Ureidosuccinic.acid.3TMS","Ureidosuccinic acid"
"21","Cluster2","Glucaric.acid.6TMS","Glucaric acid"
"22","Cluster3","Glutaric.acid.2TMS","Glutaric acid"
"23","Cluster3","Glutamine.3TMS","Glutamine"
"24","Cluster3","Asparagine.3TMS","Asparagine"
"25","Cluster3","X5.Oxoproline.2TMS","5-Oxoproline"
"26","Cluster3","Sedoheptulose.7.phosphate.meto.7TMS","Sedoheptulose 7 phosphate"
"27","Cluster3","Glutaconic.acid.2TMS","Glutaconic acid"
"28","Cluster3","Mannose.meto.5TMS.2.","Mannose"
"29","Cluster3","Galactose.meto.5TMS.1.","Galactose"
"30","Cluster3","Hypotaurine.3TMS","Hypotaurine"
"31","Cluster3","Adipic.acid.2TMS","Adipic acid"
"32","Cluster3","Glucose.meto.5TMS.1.","Glucose"
"33","Cluster3","Allose.meto.5TMS.2.","Allose"
"34","Cluster3","Threonic.acid.4TMS","Threonic acid"
"35","Cluster4","X2.Ketoglutaric.acid.meto.2TMS","2-Ketoglutaric acid"
"36","Cluster4","Inositol.6TMS.2.","Inositol"
"37","Cluster4","Histidine.3TMS","Histidine"
"38","Cluster4","Isoleucine.2TMS","Isoleucine"
"39","Cluster4","Phenylalanine.2TMS","Phenylalanine"
"40","Cluster4","Spermine.6TMS","Spermine"
"41","Cluster4","X3.Aminoisobutyric.acid.3TMS","3-Aminoisobutyric acid"
"42","Cluster4","X2.Hydroxyglutaric.acid.3TMS","2-Hydroxyglutaric acid"
"43","Cluster4","Methionine.2TMS","Methionine"
"44","Cluster4","Homocysteine.3TMS","Homocysteine"
"45","Cluster4","Cystathionine.4TMS","Cystathionine"
"46","Cluster5","Lysine.4TMS","Lysine"
"47","Cluster5","Cytosine.2TMS","Cytosine"
"48","Cluster5","Arginine.3TMS","Arginine"
"49","Cluster5","Ornithine.3TMS","Ornithine"
"50","Cluster5","Adenine.2TMS","Adenine"
